,score_qa_distilbert
650,0.00046964542707428336
651,7.388107769656926e-05
652,0.0006742731784470379
653,0.001237064367160201
654,0.0004186445730738342
655,0.0006201201467774808
656,0.0004431790439411998
657,0.000699999276548624
658,0.00032556510996073484
659,0.00020460825180634856
660,0.00034281203988939524
661,0.00039559809374623
662,0.00017713270790409297
663,0.0005998546257615089
664,0.0002870774769689888
665,0.00023258532746694982
666,0.0013730097562074661
667,0.00012038213026244193
668,0.0006532026454806328
669,0.0008095977827906609
670,0.00024144856433849782
671,0.0001665936433710158
672,0.00015704892575740814
673,0.0005366587429307401
674,0.00010350029333494604
675,0.00040774012450128794
676,0.0008217747672460973
677,0.0014674897538498044
678,0.00046174845192581415
679,0.0004533054307103157
680,0.002626995788887143
681,0.00011654895934043452
682,0.00018812229973264039
683,0.0003685288247652352
684,0.0005936028901487589
685,0.0002157949929824099
686,0.00014144154556561261
687,0.000236976207816042
688,0.00013911686255596578
689,0.0005014705820940435
690,0.0018612248823046684
691,0.00034511054400354624
692,0.0003519624297041446
693,0.0003134165599476546
694,0.0003703669353853911
695,0.0004109261208213866
696,0.00013178540393710136
697,0.00016383430920541286
698,0.00020550693443510681
699,0.00016353056707885116
700,0.00022992605227045715
701,0.0007598705124109983
702,0.0006708151777274907
703,0.0002639969752635807
704,0.00019839880405925214
705,0.00026916226488538086
706,0.0006106565706431866
707,0.0003695581399369985
708,7.383040065178648e-05
709,0.0018629346741363406
710,0.0004010095144622028
711,0.0003199882048647851
712,0.0001582640688866377
713,0.00037387284100987017
714,0.00032648665364831686
715,0.0003486490750219673
716,0.0005704344948753715
717,0.0009879872668534517
718,0.0005914359935559332
719,0.0007899086340330541
720,6.767556624254212e-05
721,0.0001765408378560096
722,0.0005942537100054324
723,0.00017459402442909777
724,0.0008056089864112437
725,0.0003428531636018306
726,0.0014611012302339077
727,0.00027737542404793203
728,0.0003612299624364823
729,0.0002918303944170475
730,0.00015730172162875533
731,0.0004048704286105931
732,0.000857560196891427
733,9.864581807050854e-05
734,0.00018367035954724997
735,0.00015581051411572844
736,0.0003927066863980144
737,0.00043806005851365626
738,0.0001388589444104582
739,0.00048738913028500974
740,0.0004047256661579013
741,0.0004010135598946363
742,0.0003881824086420238
743,0.0004920901264995337
744,0.0005275955190882087
745,0.0004466063983272761
746,0.00032161857234314084
747,0.0011130271013826132
748,0.0007104581454768777
749,0.00026084991986863315
750,0.004268810618668795
751,0.0005952243809588253
752,0.00023397154291160405
753,0.0012367761228233576
754,0.00015028027701191604
755,0.0003954242856707424
756,0.00034658369258977473
757,0.0002835768973454833
758,0.0009446021285839379
759,0.000608527276199311
760,0.0005403974209912121
761,0.0011444160481914878
762,0.0003520666214171797
763,0.0003545907966326922
764,0.0010179545497521758
765,6.93460606271401e-05
766,0.0003004520549438894
767,0.00011862298561027274
768,0.0007039023330435157
769,0.00017447219579480588
770,0.0004069454444106668
771,0.00015878916019573808
772,0.0003055832057725638
773,0.0006319729145616293
774,0.0002499255060683936
775,6.141718768049031e-05
776,0.00016562176460865885
777,0.0004829413373954594
778,0.00036562563036568463
